Time,Exports,FCE,GDP,G_F_C_E,D_Savings,G_Savings,Imports,Inflation,Remittances,U,Reserve,FDII,FDIO,Industry
1971,6.29,96.21,-5.48,4.95,3.79,27.05,10.73,2.96,0.19,3.17,26.72,0.0,0.0,7.68
1972,5.67,103.36,-13.97,4.95,-3.36,27.05,13.73,4.4,0.19,3.17,184.62,0.0,0.0,6.06
1973,6.54,96.6,3.33,3.94,3.4,27.05,11.86,61.41,0.19,3.17,28.76,0.03,0.0,12.11
1974,3.7,99.27,9.59,4.64,0.73,27.05,10.35,44.54,0.19,3.17,10.99,0.02,0.0,13.37
1975,2.9,99.06,-4.09,3.16,0.94,27.05,8.1,80.57,0.19,3.17,8.82,0.01,0.0,11.61
1976,4.75,102.98,5.66,4.07,-2.98,-0.84,17.64,-17.63,0.19,3.17,14.49,0.05,0.0,14.45
1977,7.04,93.82,2.67,5.09,6.18,10.04,12.38,-3.21,0.82,3.17,10.36,0.07,0.0,16.73
1978,5.56,98.38,7.07,4.88,1.62,5.7,15.48,25.62,0.87,3.17,11.39,0.06,0.0,14.31
1979,6.11,98.48,4.8,6.28,1.52,7.08,15.8,12.56,1.1,3.17,13.94,-0.05,0.0,15.69
1980,5.49,97.95,0.82,6.14,2.05,8.33,17.88,17.56,1.87,3.17,8.71,0.05,0.0,20.12
1981,5.13,85.16,7.23,4.39,14.84,21.14,14.12,9.89,1.88,3.17,3.79,0.03,0.0,19.81
1982,5.08,85.22,2.13,4.43,14.78,23.53,15.53,9.86,2.84,3.17,4.22,0.04,0.0,20.04
1983,5.6,87.95,3.88,4.31,12.05,23.1,14.71,8.49,3.65,3.17,10.21,0.0,0.0,20.87
1984,3.4,93.22,4.8,4.34,6.78,16.29,13.42,7.88,2.65,2.04,7.36,-0.0,0.0,21.43
1985,5.38,85.49,3.34,4.03,14.51,21.52,12.84,18.5,2.26,2.02,5.45,-0.03,0.0,20.32
1986,5.18,84.79,4.17,4.2,15.21,22.78,11.84,8.25,2.65,0.96,5.49,0.01,0.0,20.38
1987,4.99,85.9,3.77,4.14,14.1,22.63,11.7,11.12,3.08,3.17,9.0,0.01,0.0,19.6
1988,5.43,86.22,2.42,4.17,13.78,22.2,12.25,7.5,2.87,3.17,10.48,0.01,0.0,19.94
1989,5.54,84.72,2.84,4.15,15.28,22.35,12.79,8.34,2.63,0.92,4.97,0.0,0.0,19.79
1990,5.91,84.09,5.62,4.05,15.91,23.02,13.06,6.53,2.46,3.17,5.37,0.01,0.0,20.15
1991,6.66,85.43,3.49,4.14,14.57,22.56,12.23,2.73,2.49,2.2,10.06,0.0,0.0,21.12
1992,7.59,86.14,5.44,4.45,13.86,21.99,12.35,2.58,2.88,3.17,13.8,0.01,0.0,21.72
1993,9.02,87.7,4.71,4.95,12.3,20.9,14.1,0.16,3.04,3.17,17.32,0.04,0.0,22.93
1994,9.0,86.9,3.89,4.88,13.1,22.42,13.86,3.97,3.41,3.17,20.5,0.03,0.0,23.47
1995,10.86,86.87,5.12,4.63,13.13,22.15,17.34,7.14,3.17,3.17,15.1,0.0,0.0,23.58
1996,9.71,83.58,4.52,4.73,16.42,23.14,16.37,19.14,2.9,2.51,12.32,0.03,0.03,21.68
1997,10.52,82.86,4.49,4.9,17.14,24.4,15.81,3.8,3.16,3.17,11.3,0.29,0.01,21.86
1998,11.76,81.36,5.18,5.13,18.64,25.83,16.12,4.74,3.21,3.17,12.48,0.38,0.01,22.66
1999,11.76,81.27,4.67,5.04,18.73,26.66,16.63,3.78,3.52,3.17,9.94,0.35,0.0,22.38
2000,12.34,79.98,5.29,4.97,20.02,27.8,16.98,3.45,3.69,3.27,9.72,0.52,0.0,22.28
2001,13.39,79.37,5.08,4.85,20.63,28.42,18.71,3.26,3.9,3.17,8.72,0.14,0.04,22.58
2002,12.41,79.16,3.83,5.02,20.84,30.75,16.56,3.89,5.22,3.17,10.32,0.1,0.0,22.84
2003,11.43,79.81,4.74,5.13,20.19,30.16,16.23,5.82,5.31,4.32,14.23,0.45,0.0,22.47
2004,11.15,78.81,5.24,5.17,21.19,31.58,15.71,4.56,5.5,3.17,16.34,0.69,0.01,22.78
2005,14.39,78.94,6.54,5.18,21.06,32.36,20.0,4.59,6.21,4.25,15.27,1.17,0.0,23.3
2006,16.35,78.56,6.67,5.44,21.44,35.34,21.76,5.88,7.56,3.59,19.23,0.64,0.0,24.1
2007,17.0,79.25,7.06,5.36,20.75,36.32,22.95,6.47,8.24,3.17,24.52,0.82,0.17,24.5
2008,17.66,80.81,6.01,5.18,19.19,37.38,24.96,7.86,9.76,3.17,24.79,1.45,0.21,24.73
2009,16.94,79.67,5.05,5.09,20.33,38.98,23.15,6.76,10.27,5.0,40.75,0.88,0.18,25.3
2010,16.02,79.19,5.57,5.08,20.81,38.78,21.78,7.14,9.41,3.38,42.06,1.07,0.06,24.96
